Subfolder,DealNumber,Dealer,AuctionSig,NorthHand,SouthHand,EastHand,WestHand,attempts
2Club,1,S,2C Pass 2D Pass 2NT Pass 3NT Pass Pass Pass,S:Q65 H:864 D:KQ86 C:T87,S:AK82 H:AK3 D:A4 C:KQ94,S:T7 H:J92 D:T75 C:J6532,S:J943 H:QT75 D:J932 C:A,2
2Club,10,N,2C Pass 2NT Pass 3NT Pass 6NT Pass Pass Pass,S:AK8 H:KQT D:KQJ2 C:AT4,S:JT7 H:A96 D:T95 C:KQJ3,S:5432 H:832 D:A4 C:9762,S:Q96 H:J754 D:8763 C:85,2
2Club,11,N,2C Pass 2D Pass 2S Pass 3C Pass 3H Pass 3S Pass Pass Pass,S:AQT64 H:AQ85 D:Q7 C:AK,S:9875 H:64 D:863 C:J752,S:KJ H:T932 D:JT54 C:843,S:32 H:KJ7 D:AK92 C:QT96,2
2Club,12,N,2C Pass 2D Pass 3C Pass 3D Pass 3NT Pass Pass Pass,S:A5 H:A6 D:K7 C:AKQJT63,S:763 H:852 D:9543 C:872,S:Q82 H:QJT93 D:JT86 C:5,S:KJT94 H:K74 D:AQ2 C:94,1
2Club,13,S,2C Pass 2H Pass 3H Pass 4H Pass 4NT Pass 5D Pass 6H Pass Pass Pass,S:Q93 H:A97653 D:72 C:84,S:AK H:KT84 D:KQ9 C:AKQ5,S:JT64 H:J D:AJ3 C:JT972,S:8752 H:Q2 D:T8654 C:63,1
2Club,14,N,2C Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:K53 H:Q95 D:AKQ6 C:AKQ,S:AQJT7 H:86 D:943 C:652,S:84 H:KJT42 D:875 C:943,S:962 H:A73 D:JT2 C:JT87,2
2Club,15,S,2C Pass 2NT Pass 3NT Pass 6NT Pass Pass Pass,S:KQ9 H:864 D:AQT6 C:J54,S:A82 H:AK3 D:KJ7 C:AKT6,S:T53 H:Q952 D:9832 C:Q3,S:J764 H:JT7 D:54 C:9872,1
2Club,16,N,2C Pass 2NT Pass 3NT Pass 7NT Pass Pass Pass,S:AK3 H:KQT D:AJ2 C:KQJT,S:QJT7 H:A96 D:KQ5 C:A83,S:42 H:852 D:T87643 C:92,S:9865 H:J743 D:9 C:7654,1
2Club,17,N,2C Pass 2D Pass 2H Pass 3H Pass 4C Pass 4D Pass 6H,S:AK H:AKT86 D:75 C:AKQ6,S:86 H:Q752 D:A9864 C:53,S:QJT7 H:93 D:KQ2 C:T984,S:95432 H:J4 D:JT3 C:J72,31
2Club,18,N,2C Pass 2D Pass 2H Pass 2S Pass 2NT Pass 3S Pass 4S,S:AJ H:AKT86 D:Q94 C:AKQ,S:KQ9865 H:7 D:85 C:9532,S:T43 H:J4 D:J7632 C:764,S:72 H:Q9532 D:AKT C:JT8,3
2Club,19,S,2C Pass 2S Pass 4NT Pass 5H Pass 7NT Pass Pass Pass,S:AJT75 H:8 D:A3 C:97642,S:KQ63 H:AK D:KQ9 C:AKQ5,S:984 H:QJ9764 D:JT2 C:8,S:2 H:T532 D:87654 C:JT3,1
2Club,2,N,2C Pass 2D Pass 2NT Pass Pass Pass,S:KQ5 H:AK6 D:AK92 C:AT8,S:T872 H:Q53 D:864 C:974,S:J96 H:J872 D:QJ5 C:K52,S:A43 H:T94 D:T73 C:QJ63,2
2Club,20,N,2C Pass 2D Pass 2S Pass 3H Pass 3NT Pass Pass Pass,S:AKQ75 H:A6 D:AQ7 C:KQ3,S:63 H:KQJT2 D:T96 C:984,S:84 H:975 D:854 C:AJ752,S:JT92 H:843 D:KJ32 C:T6,1
2Club,3,S,2C Pass 2D Pass 3NT Pass Pass Pass,S:Q65 H:864 D:Q986 C:T87,S:AK82 H:AK3 D:AK C:KQ94,S:T943 H:Q972 D:T432 C:A,S:J7 H:JT5 D:J75 C:J6532,1
2Club,4,N,2C Pass 2D Pass 2NT Pass 3NT Pass Pass Pass,S:KQ5 H:AK6 D:AK92 C:AT8,S:JT82 H:Q53 D:864 C:J94,S:97643 H:972 D:J3 C:732,S:A H:JT84 D:QT75 C:KQ65,1
2Club,5,S,2C Pass 2D Pass 2H Pass 2NT Pass 4H Pass Pass Pass,S:K873 H:92 D:J8742 C:T3,S: H:AKQJ8643 D:A5 C:QJ4,S:AJT92 H:T7 D:Q3 C:K972,S:Q654 H:5 D:KT96 C:A865,400
2Club,6,N,2C Pass 2D Pass 2H Pass 3D Pass 3NT Pass Pass Pass,S:AK4 H:AQT863 D:Q C:KQT,S:875 H:K D:KJT942 C:752,S:JT62 H:J97 D:87 C:9843,S:Q93 H:542 D:A653 C:AJ6,3
2Club,7,S,2C Pass 2D Pass 2S Pass 4S Pass Pass Pass,S:K65 H:T864 D:92 C:T873,S:AQJ83 H:3 D:KQ7 C:AKQ9,S:T2 H:QJ52 D:AJT5 C:J42,S:974 H:AK97 D:8643 C:65,3
2Club,8,N,2C Pass 2D Pass 2NT Pass 3C Pass 3H Pass 4H Pass Pass Pass,S:AQ H:AK75 D:Q84 C:AKJT,S:K875 H:QJT3 D:T5 C:973,S:T943 H:964 D:K62 C:Q86,S:J62 H:82 D:AJ973 C:542,1
2Club,9,S,2C Pass 2D Pass 2H Pass 2NT Pass 3NT Pass Pass Pass,S:J943 H:96 D:9863 C:A82,S:AK H:KQJT4 D:AJT C:KJ9,S:T85 H:32 D:Q2 C:QT7653,S:Q762 H:A875 D:K754 C:4,1
2over1,1,N,1H Pass 2D Pass 2NT Pass 3NT Pass Pass Pass,S:QT5 H:KQJT5 D:74 C:AQ6,S:J84 H:A2 D:KT963 C:KJ4,S:K963 H:86 D:852 C:9752,S:A72 H:9743 D:AQJ C:T83,2
2over1,10,S,1S Pass 2H Pass 3H Pass 3S Pass 4C Pass 4NT Pass 5H Pass 6H,S:A4 H:KJT8653 D:KQ C:87,S:KJ763 H:AQ7 D:84 C:AQJ,S:T982 H:9 D:J975 C:K542,S:Q5 H:42 D:AT632 C:T963,2
2over1,11,W,Pass 1H Pass 2C Pass 2NT Pass 3NT Pass 4NT Pass 6NT Pass Pass Pass,S:AJT H:AK985 D:K96 C:Q7,S:863 H:73 D:AQ4 C:AKJT4,S:KQ2 H:QJ42 D:T853 C:92,S:9754 H:T6 D:J72 C:8653,1
2over1,12,W,Pass 1S Pass 2D Pass 2S Pass 4S Pass Pass Pass,S:AJ8752 H:AK D:Q6 C:J87,S:Q63 H:Q3 D:AKJ94 C:964,S:94 H:JT54 D:853 C:QT53,S:KT H:98762 D:T72 C:AK2,5
2over1,13,W,Pass 1S Pass 2H Pass 3H Pass 4NT Pass 5H Pass 5NT Pass 6C Pass 6H Pass Pass Pass,S:AJT62 H:A62 D:QJ C:T87,S:K5 H:KQ98543 D:A4 C:A4,S:Q98 H:T7 D:K8652 C:Q93,S:743 H:J D:T973 C:KJ652,1
2over1,14,S,1H Pass 2D Pass 2H Pass 4H Pass Pass Pass,S:QJ2 H:KT D:KQ865 C:Q87,S:A H:AQJ753 D:742 C:KJ4,S:K9653 H:984 D:A93 C:53,S:T874 H:62 D:JT C:AT962,3
2over1,15,N,1S Pass 1NT Pass 2C Pass 2H Pass Pass Pass,S:AQ862 H:T4 D:K65 C:K87,S:J H:KQJ753 D:432 C:Q54,S:K97543 H:A6 D:Q97 C:J6,S:T H:982 D:AJT8 C:AT932,16
2over1,16,N,1S Pass 1NT Pass 2C Pass 2NT Pass 3NT Pass Pass Pass,S:AQ862 H:A4 D:95 C:AK87,S:K H:K753 D:AT32 C:J954,S:T93 H:QT62 D:QJ74 C:T2,S:J754 H:J98 D:K86 C:Q63,4
2over1,17,N,1H Pass 1NT Pass 2H Pass Pass Pass,S:862 H:AQJ753 D:95 C:A2,S:K95 H:T6 D:KT32 C:JT54,S:JT43 H:92 D:AJ87 C:Q87,S:AQ7 H:K84 D:Q64 C:K963,5
2over1,18,S,1S Pass 2D Pass 3D Pass 4S Pass Pass Pass,S:KJ2 H:874 D:AQ975 C:Q2,S:AQT95 H:T96 D:KT86 C:A,S:864 H:A532 D:42 C:J975,S:73 H:KQJ D:J3 C:KT8643,2
2over1,2,N,1H Pass 2D Pass 2H Pass 3H Pass 4H Pass Pass Pass,S:65 H:KQJ843 D:A5 C:Q63,S:KJ8 H:A2 D:KT963 C:KJ4,S:932 H:T76 D:Q872 C:T75,S:AQT74 H:95 D:J4 C:A982,4
2over1,20,S,1S Pass 2D Pass 2S Pass 3S Pass 4C Pass 4S,S:QJ2 H:J2 D:QJ862 C:AKJ,S:AK98764 H:KQ7 D:K73 C:,S:5 H:AT653 D:T54 C:T954,S:T3 H:984 D:A9 C:Q87632,400
2over1,21,N,1S Pass 2D Pass 2H Pass 2NT Pass 3NT Pass Pass Pass,S:AJT82 H:AK82 D:Q2 C:T5,S:74 H:Q73 D:AKJ73 C:KJ9,S:Q96 H:J964 D:T9 C:8642,S:K53 H:T5 D:8654 C:AQ73,1
2over1,22,N,1S Pass 2D Pass 2H Pass 3C Pass 3NT Pass Pass Pass,S:AJT82 H:AT82 D:Q2 C:K5,S:74 H:KQ3 D:AKJ73 C:T97,S:65 H:965 D:654 C:QJ842,S:KQ93 H:J74 D:T98 C:A63,1
2over1,23,N,Pass Pass 1S Pass 2D Pass 2H Pass 2S Pass Pass Pass,S:T82 H:A2 D:A8542 C:Q85,S:AK974 H:KQ63 D:73 C:T7,S:QJ H:JT874 D:JT6 C:KJ2,S:653 H:95 D:KQ9 C:A9643,6
2over1,24,N,1S Pass 1NT Pass 2C Pass 2S Pass Pass Pass,S:KQT62 H:A74 D:84 C:A85,S:74 H:9863 D:A762 C:KQ3,S:85 H:52 D:KQT953 C:642,S:AJ93 H:KQJT D:J C:JT97,3
2over1,25,S,1S Pass 2H Pass 3H Pass 4C Pass 4D Pass 4NT Pass 5H Pass 5NT Pass 6D Pass 6H,S:Q6 H:AKQ972 D:984 C:AQ,S:AK874 H:J86 D:AJ6 C:93,S:JT9 H:T4 D:Q52 C:JT864,S:532 H:53 D:KT73 C:K752,16
2over1,26,N,1S Pass 1NT Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:QJ8763 H:AK8 D:8 C:K75,S:A4 H:QJ6 D:7642 C:A963,S:K95 H:T97542 D:A3 C:Q2,S:T2 H:3 D:KQJT95 C:JT84,2
2over1,27,N,1S Pass 2C Pass 2H Pass 2NT Pass 3S Pass 4S Pass Pass Pass,S:QJ9842 H:AJ95 D:83 C:K,S:T7 H:QT3 D:AJ6 C:AQ642,S:K3 H:742 D:T9754 C:983,S:A65 H:K86 D:KQ2 C:JT75,1
2over1,28,S,1S Pass 1NT Pass 2C Pass 3S Pass Pass Pass,S:AJ8 H:Q652 D:873 C:A74,S:KQ753 H:87 D:KQ6 C:Q95,S:T96 H:AT3 D:AJ42 C:KJ2,S:42 H:KJ94 D:T95 C:T863,1
2over1,3,N,1H Pass 2D Pass 2H Pass 3H Pass 4C Pass 4D Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:K5 H:KQJ743 D:75 C:AK4,S:Q6 H:A82 D:AKQ63 C:763,S:AJT87 H:5 D:T94 C:JT82,S:9432 H:T96 D:J82 C:Q95,2
2over1,5,N,1S Pass 2C Pass 2H Pass 2NT Pass 3H Pass 4H Pass Pass Pass,S:KJ965 H:AK843 D:75 C:4,S:Q4 H:QT7 D:AJ6 C:AT986,S:A83 H:J965 D:93 C:KQ52,S:T72 H:2 D:KQT842 C:J73,1
2over1,6,E,Pass 1S Pass 2H Pass 3H Pass 4H Pass Pass Pass,S:65 H:AQ953 D:KQ63 C:Q9,S:AJT74 H:KT7 D:A95 C:72,S:983 H:82 D:T82 C:AKJT8,S:KQ2 H:J64 D:J74 C:6543,2
2over1,7,N,1S Pass 2C Pass 2H Pass 3H Pass 4H Pass Pass Pass,S:AK9652 H:T983 D:4 C:A8,S:7 H:AK75 D:K762 C:KQT6,S:JT8 H:J4 D:AT9853 C:74,S:Q43 H:Q62 D:QJ C:J9532,1
2over1,8,N,1H Pass 2D Pass 2S Pass 2NT Pass 3NT Pass Pass Pass,S:AK92 H:AQ983 D:85 C:86,S:875 H:K4 D:AQJT7 C:K97,S:J64 H:75 D:63 C:AQT432,S:QT3 H:JT62 D:K942 C:J5,1
2over1,9,N,1S Pass 2C Pass 2H Pass 3D Pass 3NT Pass Pass Pass,S:A9742 H:A983 D:K6 C:Q7,S:K8 H:JT7 D:975 C:AKJ62,S:T53 H:Q54 D:AQ42 C:T43,S:QJ6 H:K62 D:JT83 C:985,6
Blackwood,1,N,1H Pass 3H Pass 4NT Pass 5D Pass 5H Pass Pass Pass,S:9 H:QJT75 D:AKQ3 C:KQ4,S:AK H:K942 D:JT85 C:863,S:QT873 H:83 D:42 C:JT97,S:J6542 H:A6 D:976 C:A52,1
Blackwood,10,N,2C Pass 2NT Pass 4C Pass 4S Pass 6NT Pass Pass Pass,S:KQ4 H:KQJ3 D:KQJ5 C:AK,S:AT7 H:952 D:AT86 C:Q63,S:9853 H:A764 D:93 C:987,S:J62 H:T8 D:742 C:JT542,1
Blackwood,11,N,2C Pass 2S Pass 2NT Pass 4C Pass 4D Pass 7NT Pass Pass Pass,S:AT H:AK76 D:A85 C:AKJ5,S:KQJ8643 H:3 D:KQJ4 C:7,S:97 H:QT8 D:762 C:Q9864,S:52 H:J9542 D:T93 C:T32,1
Blackwood,12,N,1C Pass 1S Pass 4S Pass 4NT Pass 5D Pass 6S Pass Pass Pass,S:AQJ2 H:KQJ D:J6 C:KQJ8,S:KT983 H:2 D:AKT4 C:A73,S:54 H:8653 D:Q832 C:T92,S:76 H:AT974 D:975 C:654,7
Blackwood,13,S,1S Pass 3S Pass 4C Pass 4H Pass 4S Pass Pass Pass,S:QT92 H:AJ43 D:Q7 C:QT6,S:AKJ83 H:KQ76 D:98 C:AK,S:4 H:T9 D:AK6532 C:J975,S:765 H:852 D:JT4 C:8432,4
Blackwood,14,E,Pass 1NT Pass 4NT Pass 6NT Pass Pass Pass,S:Q85 H:AK4 D:KJT C:KT43,S:AK43 H:QJ86 D:A9 C:QJ6,S:J976 H:53 D:Q8765 C:82,S:T2 H:T972 D:432 C:A975,4
Blackwood,15,N,1H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:964 H:AJ953 D:AQJ3 C:7,S:KQJ83 H:K8764 D:7 C:AK,S:T72 H:T D:T9854 C:8642,S:A5 H:Q2 D:K62 C:QJT953,400
Blackwood,16,N,1D Pass 1S Pass 3S Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:KQ72 H:Q4 D:AQ84 C:A52,S:AT643 H:K8 D:KJ5 C:KJ6,S:J8 H:AT96 D:962 C:QT43,S:95 H:J7532 D:T73 C:987,1
Blackwood,17,N,1NT Pass 3D Pass 4D Pass 4NT Pass 5H Pass 6D Pass Pass Pass,S:KQJ H:AJ4 D:AT53 C:JT8,S:A53 H:KQ5 D:KQJ874 C:9,S:9864 H:T73 D:62 C:KQ42,S:T72 H:9862 D:9 C:A7653,400
Blackwood,18,S,3S Pass 4NT Pass 6C Pass 7S Pass Pass Pass,S:KT742 H:AK D:A C:KJ863,S:AQJ9853 H:964 D:873 C:,S: H:JT75 D:Q96 C:AQT975,S:6 H:Q832 D:KJT542 C:42,400
Blackwood,19,N,2NT Pass 4C Pass 4H Pass Pass Pass,S:KQJ H:J97 D:KQJ C:AQJ7,S:A7 H:KQT86543 D:4 C:K6,S:T6532 H:A D:8532 C:T92,S:984 H:2 D:AT976 C:8543,400
Blackwood,2,E,Pass 1NT Pass 4C Pass 4S Pass 6NT Pass Pass Pass,S:K95 H:A7 D:KQ3 C:KQJ64,S:QJ8 H:KQ2 D:AT986 C:A9,S:AT73 H:654 D:J75 C:T53,S:642 H:JT983 D:42 C:872,1
Blackwood,20,N,1H Pass 4C Pass 4NT Pass 5NT Pass 7H Pass Pass Pass,S:KJ H:AK7532 D:K6 C:873,S:A843 H:QJ986 D:A984 C:,S:T972 H:T D:QT3 C:AQJ96,S:Q65 H:4 D:J752 C:KT542,400
Blackwood,3,N,1NT Pass 4C Pass 4H Pass 4NT Pass Pass Pass,S:AQJ H:QJT5 D:975 C:KQJ,S:K8 H:K2 D:KQJT843 C:A3,S:T9753 H:A943 D:2 C:876,S:642 H:876 D:A6 C:T9542,1
Blackwood,4,E,Pass 2NT Pass 4C Pass 4S Pass 6NT Pass Pass Pass,S:KQ7 H:A65 D:QT83 C:KJ4,S:A98 H:KQJT D:KJ6 C:AQ3,S:T53 H:9 D:542 C:T87652,S:J642 H:87432 D:A97 C:9,7
Blackwood,5,N,2H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:84 H:AJT863 D:63 C:A75,S:AK H:K942 D:KQJT54 C:8,S:T62 H:75 D:987 C:KT963,S:QJ9753 H:Q D:A2 C:QJ42,400
Blackwood,6,N,1C Pass 1H Pass 4H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:K5 H:A985 D:AQ C:KQJ54,S:A986 H:KQJT D:KT86 C:3,S:QT43 H:632 D:75 C:AT87,S:J72 H:74 D:J9432 C:962,1
Blackwood,7,S,1D Pass 2NT Pass 4C Pass 4S Pass 6NT Pass Pass Pass,S:QT6 H:AQ5 D:T87 C:AQ52,S:AK H:KT D:KQJ94 C:KT83,S:9853 H:9864 D:62 C:974,S:J742 H:J732 D:A53 C:J6,6
Blackwood,8,S,1S Pass 3H Pass 3S Pass 4NT Pass 5H Pass 5NT Pass 6C Pass 6NT,S:T92 H:AKQT5 D:AK C:KQJ,S:AQJ873 H:6 D:T86 C:A63,S:5 H:J8742 D:Q942 C:954,S:K64 H:93 D:J753 C:T872,2
Blackwood,9,N,2H Pass 4NT Pass 6D Pass 6H Pass Pass Pass,S:642 H:AQ9742 D: C:8542,S:AK H:K853 D:KQJ4 C:A93,S:Q9 H:JT D:T9765 C:QJT7,S:JT8753 H:6 D:A832 C:K6,400
Drury,1,S,Pass Pass 1H Pass 2C Pass 2H Pass Pass Pass,S:K43 H:AQJ54 D:63 C:T95,S:A5 H:KT83 D:K752 C:843,S:9872 H:76 D:AQT4 C:AJ6,S:QJT6 H:92 D:J98 C:KQ72,9
Drury,2,N,Pass Pass 1S Pass 2C Pass 2S Pass Pass Pass,S:Q874 H:A53 D:KQ3 C:T82,S:AKJ95 H:Q94 D:76 C:965,S:63 H:T762 D:AT8 C:KQ74,S:T2 H:KJ8 D:J9542 C:AJ3,4
Drury,3,S,Pass Pass 1S Pass 2C Pass 2D Pass 4S Pass Pass Pass,S:AK952 H:K83 D:QJ C:752,S:QJT7 H:A4 D:KT953 C:94,S:64 H:T75 D:A42 C:AKT86,S:83 H:QJ962 D:876 C:QJ3,24
Drury,4,N,Pass Pass 1H Pass 2C Pass 2D Pass 3H Pass 4H Pass Pass Pass,S:A94 H:AJ7 D:KT83 C:T82,S:752 H:KQT63 D:QJ9 C:A7,S:QT3 H:954 D:42 C:QJ643,S:KJ86 H:82 D:A765 C:K95,2
Drury,5,S,Pass Pass 1H Pass 3H Pass Pass Pass,S:Q84 H:AKJ53 D:82 C:A74,S:7 H:Q9864 D:T743 C:K83,S:AJT3 H:T2 D:AJ95 C:J52,S:K9652 H:7 D:KQ6 C:QT96,400
Drury,6,N,Pass Pass 1S Pass 2C Pass 4S Pass Pass Pass,S:T642 H:KQ5 D:86 C:AQ93,S:QJ9875 H:A4 D:KQJ C:87,S:K3 H:JT863 D:T74 C:KJ2,S:A H:972 D:A9532 C:T654,400
Drury,7,S,Pass Pass 1S Pass 2C Pass 2D Pass 2S Pass Pass Pass,S:KT843 H:J53 D:J76 C:AK,S:QJ96 H:AK D:852 C:9765,S:A2 H:T742 D:AT4 C:QJ42,S:75 H:Q986 D:KQ93 C:T83,15
Drury,8,N,Pass Pass 1S Pass 3S Pass Pass Pass,S:JT96 H:Q8 D:86 C:K8653,S:KQ875 H:K74 D:KQ7 C:T2,S:42 H:A962 D:AT42 C:Q94,S:A3 H:JT53 D:J953 C:AJ7,4
FSF,1,N,1C Pass 1H Pass 1S Pass 2D Pass 2H Pass 4H Pass Pass Pass,S:KQ92 H:AT6 D:J5 C:K954,S:A5 H:KQ982 D:T96 C:A63,S:J876 H:J75 D:Q843 C:T2,S:T43 H:43 D:AK72 C:QJ87,4
FSF,10,S,1D Pass 1S Pass 2C Pass 2H Pass 2S Pass 4S,S:KQJ62 H:963 D:A6 C:K54,S:743 H:K2 D:KJT8 C:AQ96,S:T H:AQ74 D:9732 C:T732,S:A985 H:JT85 D:Q54 C:J8,5
FSF,11,N,1H Pass 2C Pass 2D Pass 2S Pass 2NT Pass 3NT Pass Pass Pass,S:KJ3 H:QT975 D:AQ96 C:6,S:975 H:63 D:KT C:AKQJ83,S:T86 H:AKJ D:842 C:T752,S:AQ42 H:842 D:J753 C:94,2
FSF,12,S,1C Pass 1D Pass 1H Pass 1S Pass 2S Pass 4S,S:KQ95 H:K3 D:AJ863 C:93,S:A863 H:AJ75 D:9 C:KQ64,S:JT72 H:Q962 D:KT2 C:87,S:4 H:T84 D:Q754 C:AJT52,2
FSF,13,N,1H Pass 1S Pass 2C Pass 2D Pass 2S Pass 4S Pass Pass Pass,S:T94 H:KQJ62 D:6 C:AK65,S:KQJ53 H:73 D:A94 C:Q83,S:72 H:85 D:KQJ75 C:J742,S:A86 H:AT94 D:T832 C:T9,2
FSF,14,S,1C Pass 1H Pass 1S Pass 2D Pass 3H Pass 4H,S:A7 H:AQ743 D:T82 C:JT5,S:KT86 H:KJ9 D:6 C:AK642,S:Q32 H:T52 D:K9543 C:Q3,S:J954 H:86 D:AQJ7 C:987,38
FSF,2,S,1D Pass 1H Pass 1S Pass 2C Pass 2NT Pass Pass Pass,S:K72 H:AJT93 D:Q6 C:953,S:Q986 H:82 D:AK74 C:AT4,S:A53 H:KQ6 D:T985 C:K62,S:JT4 H:754 D:J32 C:QJ87,1
FSF,3,N,1C Pass 1H Pass 1S Pass 2D Pass 2NT Pass 3NT Pass Pass Pass,S:KQ92 H:T6 D:AJ5 C:K954,S:A5 H:KQ982 D:T96 C:A63,S:JT87 H:7 D:KQ8743 C:T8,S:643 H:AJ543 D:2 C:QJ72,7
FSF,4,S,1D Pass 1S Pass 2C Pass 2H Pass 3NT Pass Pass Pass,S:AK752 H:863 D:AK C:984,S:6 H:AJT D:QT954 C:AQ73,S:QT84 H:942 D:J632 C:KJ,S:J93 H:KQ75 D:87 C:T652,2
FSF,5,N,1H Pass 1S Pass 2C Pass 3NT Pass Pass Pass,S:Q4 H:AT864 D:83 C:AK82,S:KJT7 H:QJ D:KQJ9 C:J76,S:A983 H:K72 D:A6 C:T953,S:652 H:953 D:T7542 C:Q4,3
FSF,6,S,1H Pass 1S Pass 2C Pass 2D Pass 3C Pass 5C,S:AK985 H:A5 D:87 C:QJ94,S:7 H:KQ863 D:T4 C:AKT86,S:T6432 H:942 D:AKQ9 C:2,S:QJ H:JT7 D:J6532 C:753,2
FSF,7,N,1H Pass 1S Pass 2D Pass 3C Pass 3NT Pass Pass Pass,S:4 H:AJ863 D:QJT7 C:AJ9,S:KQJ76 H:KQ D:K64 C:863,S:AT52 H:97 D:985 C:KQT4,S:983 H:T542 D:A32 C:752,2
FSF,8,S,1D Pass 1S Pass 2C Pass 3H Pass 4H Pass Pass Pass,S:KT854 H:AKT7 D:85 C:K4,S:6 H:QJ82 D:AKT9 C:A985,S:AQ9 H:954 D:J2 C:QJ732,S:J732 H:63 D:Q7643 C:T6,7
FSF,9,N,1H Pass 1S Pass 2D Pass 4H Pass Pass Pass,S:A3 H:AQJ72 D:QT83 C:64,S:KQJ5 H:864 D:AK7 C:975,S:T86 H:KT53 D:62 C:KQJ3,S:9742 H:9 D:J954 C:AT82,6
Help,1,S,1H Pass 2H Pass Pass Pass,S:QT6 H:T86 D:AJ4 C:J752,S:A5 H:AQ942 D:T853 C:K3,S:J873 H:7 D:KQ962 C:T94,S:K942 H:KJ53 D:7 C:AQ86,3
Help,10,N,1S Pass 2S Pass 3D Pass 3H Pass 4S,S:AKQ84 H:62 D:962 C:AK8,S:T53 H:AK53 D:853 C:QT2,S:976 H:T87 D:AKJ4 C:654,S:J2 H:QJ94 D:QT7 C:J973,1
Help,2,N,1S Pass 2S Pass 3H Pass 4S Pass Pass Pass,S:KQT98 H:Q543 D:AQ C:A5,S:J742 H:K8 D:965 C:K762,S:65 H:AJ9 D:KJT72 C:Q94,S:A3 H:T762 D:843 C:JT83,1
Help,3,S,1S Pass 2S Pass 4S Pass Pass Pass,S:T853 H:KQ54 D:Q76 C:94,S:AQJ96 H:A7 D:AK5 C:T63,S:72 H:JT9 D:JT93 C:AJ72,S:K4 H:8632 D:842 C:KQ85,2
Help,4,N,1H Pass 2H Pass 3D Pass 3H Pass Pass Pass,S:A3 H:AQJ92 D:Q742 C:K8,S:J42 H:K85 D:653 C:A762,S:QT965 H:74 D:KJT9 C:43,S:K87 H:T63 D:A8 C:QJT95,10
