Subfolder,DealNumber,Dealer,AuctionSig,NorthHand,SouthHand,EastHand,WestHand,attempts
Help,5,S,1H Pass 2H Pass 3C Pass 3H Pass Pass Pass,S:QJ2 H:K863 D:865 C:T95,S:K3 H:AJ972 D:AK C:J863,S:A765 H:T54 D:J43 C:K74,S:T984 H:Q D:QT972 C:AQ2,2
Help,6,N,1S Pass 2S Pass 3H Pass 4S Pass Pass Pass,S:AKQ92 H:Q873 D:A4 C:Q7,S:8753 H:6 D:KQ53 C:JT62,S:T H:JT42 D:T87 C:AK843,S:J64 H:AK95 D:J962 C:95,1
Help,7,S,1S Pass 2S Pass 3D Pass 4S Pass Pass Pass,S:Q65 H:T864 D:AJ73 C:76,S:AKJ84 H:2 D:K642 C:A83,S:932 H:AQJ5 D:T8 C:KJT2,S:T7 H:K973 D:Q95 C:Q954,5
Help,8,N,1H Pass 2H Pass 3C Pass 4H Pass Pass Pass,S:KQ5 H:AQT75 D:AJ C:J64,S:A62 H:KJ6 D:9653 C:Q83,S:T94 H:9 D:T872 C:KT952,S:J873 H:8432 D:KQ4 C:A7,1
Help,9,S,1H Pass 2H Pass 2S Pass 4H Pass Pass Pass,S:K8 H:J742 D:K762 C:965,S:Q543 H:KQT98 D:A5 C:AQ,S:J762 H:A D:93 C:JT7432,S:AT9 H:653 D:QJT84 C:K8,4
Jacoby,1,E,Pass 1S Pass 2NT Pass 4S Pass Pass Pass,S:K764 H:KT6 D:A953 C:K8,S:AQJT8 H:QJ2 D:84 C:Q53,S:53 H:A843 D:J C:JT9764,S:92 H:975 D:KQT762 C:A2,1
Jacoby,10,N,1H Pass 2NT Pass 3H Pass 3S Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:K3 H:KJT974 D:KQ5 C:A9,S:AQ62 H:AQ53 D:J98 C:T7,S:JT84 H:6 D:T643 C:KQ64,S:975 H:82 D:A72 C:J8532,400
Jacoby,11,S,1S Pass 2NT Pass 4NT Pass 5S Pass 7NT Pass Pass Pass,S:AQ63 H:A9 D:T87 C:A964,S:KJ98752 H:KQ3 D:AK C:8,S:T H:T876 D:QJ642 C:Q53,S:4 H:J542 D:953 C:KJT72,400
Jacoby,12,N,1H Pass 3S Pass 4C Pass 4D Pass 6H Pass Pass Pass,S:765 H:AJT96 D:KQ C:A65,S:9 H:KQ85 D:A972 C:K743,S:AT842 H:32 D:643 C:QJ9,S:KQJ3 H:74 D:JT85 C:T82,9
Jacoby,14,N,1H Pass 2NT Pass 4H Pass Pass Pass,S:765 H:AJT96 D:KQ C:A65,S:K H:KQ85 D:A972 C:J743,S:QT83 H:73 D:J863 C:KQT,S:AJ942 H:42 D:T54 C:982,12
Jacoby,15,S,1H Pass 4C Pass 4NT Pass 5D Pass 5H Pass Pass Pass,S:KQJ52 H:AJT2 D:954 C:7,S:3 H:KQ753 D:KQJ6 C:A86,S:AT97 H:96 D:873 C:K943,S:864 H:84 D:AT2 C:QJT52,1
Jacoby,16,N,1S Pass 2NT Pass 3S Pass 4S Pass Pass Pass,S:AJ8763 H:AQ7 D:KQ C:87,S:K9542 H:K6 D:J4 C:KQ53,S:T H:JT985 D:986 C:AT64,S:Q H:432 D:AT7532 C:J92,1
Jacoby,17,S,1H Pass 2NT Pass 4H Pass 4S Pass 5H Pass Pass Pass,S:AK3 H:KJ95 D:KQJ3 C:97,S:Q74 H:AQT83 D:87 C:KQ6,S:962 H:72 D:AT54 C:JT53,S:JT85 H:64 D:962 C:A842,1
Jacoby,18,N,1S Pass 4H Pass 5C Pass 5H Pass 6S Pass Pass Pass,S:A98753 H:95 D:KQJT C:A,S:KQJ42 H: D:9753 C:KQ84,S:T H:AKJT72 D:64 C:9765,S:6 H:Q8643 D:A82 C:JT32,400
Jacoby,19,S,1S Pass 2NT Pass 3NT Pass 4D Pass 4H Pass 4NT Pass 5S Pass 7S Pass Pass Pass,S:KQ643 H:76 D:AKQ C:KQJ,S:AJT87 H:AQ D:J4 C:AT83,S:95 H:JT852 D:T86 C:742,S:2 H:K943 D:97532 C:965,400
Jacoby,2,N,1S Pass 2NT Pass 3H Pass 4S Pass Pass Pass,S:KQJ62 H:6 D:KJ75 C:A84,S:AT87 H:KJ95 D:84 C:KQ3,S:93 H:Q83 D:AQT2 C:T962,S:54 H:AT742 D:963 C:J75,2
Jacoby,21,S,1H Pass 4C Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:A75 H:J9865 D:AK93 C:7,S:K92 H:AKQ74 D:7 C:A963,S:JT8 H:32 D:J86 C:QT542,S:Q643 H:T D:QT542 C:KJ8,400
Jacoby,22,N,1S Pass 2NT Pass 3H Pass 4D Pass 4S Pass Pass Pass,S:AK874 H:6 D:KJ62 C:QJ6,S:QT95 H:KQ D:AQ3 C:9875,S:32 H:JT543 D:854 C:K32,S:J6 H:A9872 D:T97 C:AT4,16
Jacoby,23,S,1H Pass 2NT Pass 3H Pass 3S Pass 4NT Pass 5D Pass 5H Pass Pass Pass,S:AK3 H:KJ95 D:J3 C:QT87,S:QJ H:AQ8643 D:KQ C:KJ5,S:9652 H:T2 D:98764 C:A9,S:T874 H:7 D:AT52 C:6432,400
Jacoby,24,N,1S Pass 2NT Pass 4D Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:AQ853 H:5 D:AJT72 C:63,S:K9762 H:AK74 D:KQ8 C:K,S:T4 H:Q62 D:94 C:QT9742,S:J H:JT983 D:653 C:AJ85,400
Jacoby,25,S,1S Pass 2NT Pass 3NT Pass 4C Pass 4S Pass Pass Pass,S:KJ64 H:KQ5 D:J4 C:AJ95,S:AQ975 H:JT D:KQ5 C:KQT,S:T2 H:8643 D:AT72 C:743,S:83 H:A972 D:9863 C:862,5
Jacoby,3,S,1S Pass 2NT Pass 3C Pass 3H Pass 3S Pass 4S Pass Pass Pass,S:QJ95 H:AJ63 D:K7 C:KT4,S:AKT87 H:KQ5 D:JT84 C:8,S:62 H:T74 D:652 C:AQ632,S:43 H:982 D:AQ93 C:J975,12
Jacoby,4,N,1S Pass 2NT Pass 3NT Pass 4S Pass Pass Pass,S:AQJT8 H:K4 D:84 C:AQ83,S:K943 H:72 D:KQJ95 C:KJ,S:765 H:AQ985 D:A73 C:94,S:2 H:JT63 D:T62 C:T7652,1
Jacoby,5,S,1S Pass 2NT Pass 3S Pass 4S Pass Pass Pass,S:K973 H:J7 D:KQ65 C:KJ8,S:AQJT85 H:K4 D:84 C:AT3,S:6 H:AQT82 D:J92 C:9764,S:42 H:9653 D:AT73 C:Q52,1
Jacoby,6,N,1H Pass 2NT Pass 4H Pass Pass Pass,S:A65 H:AT754 D:A7 C:862,S:K3 H:KQ86 D:KQJ3 C:975,S:972 H:2 D:T654 C:KJT43,S:QJT84 H:J93 D:982 C:AQ,2
Jacoby,7,S,1H Pass 2NT Pass 4D Pass 4H Pass Pass Pass,S:QJ H:AJT6 D:Q52 C:KJ73,S:73 H:KQ972 D:AKJ98 C:5,S:AT8654 H:53 D:76 C:A82,S:K92 H:84 D:T43 C:QT964,400
Jacoby,8,N,1H Pass 2NT Pass 3D Pass 4H Pass Pass Pass,S:AQ3 H:AJT953 D:6 C:K82,S:KJ H:KQ86 D:KJT3 C:975,S:T8762 H:2 D:Q94 C:QT43,S:954 H:74 D:A8752 C:AJ6,400
Jacoby,9,S,1H Pass 3S Pass 4C Pass 4D Pass 6H Pass Pass Pass,S:3 H:QT95 D:AQ3 C:KJT83,S:T94 H:AKJ84 D:KJT C:AQ,S:QJ85 H:32 D:9874 C:652,S:AK762 H:76 D:652 C:974,14
Major,1,S,1H Pass 2H Pass Pass Pass,S:975 H:Q732 D:543 C:AK4,S:A4 H:AKJ98 D:872 C:865,S:KQT2 H:65 D:AT96 C:QJ9,S:J863 H:T4 D:KQJ C:T732,27
Major,10,S,1S Pass 1NT Pass 3S Pass 4S Pass Pass Pass,S:Q6 H:K873 D:A97 C:T854,S:AKT753 H:QJ5 D:KQT C:7,S:842 H:A62 D:6542 C:KJ2,S:J9 H:T94 D:J83 C:AQ963,4
Major,11,S,1H Pass 3H Pass 4NT Pass 5H Pass 6H Pass Pass Pass,S:AT2 H:K752 D:743 C:A97,S:6 H:AQJ98 D:AK85 C:KQJ,S:QJ983 H:T4 D:QJT9 C:64,S:K754 H:63 D:62 C:T8532,1
Major,12,N,1H Pass 2H Pass 4H Pass Pass Pass,S:K5 H:AKQ75 D:K63 C:AT8,S:987 H:T86 D:AQ85 C:632,S:JT632 H:93 D:T42 C:QJ4,S:AQ4 H:J42 D:J97 C:K975,3
Major,13,N,1H Pass 4H Pass Pass Pass,S:742 H:KT742 D:AQ4 C:K3,S:8 H:Q9853 D:KJ85 C:864,S:A653 H:J6 D:T62 C:AT97,S:KQJT9 H:A D:973 C:QJ52,9
Major,14,N,1H Pass 1S Pass 3H Pass 4H Pass Pass Pass,S:3 H:AKJ873 D:AQJ3 C:73,S:AK972 H:Q5 D:742 C:T65,S:Q854 H:64 D:T86 C:KJ82,S:JT6 H:T92 D:K95 C:AQ94,1
Major,15,N,1S Pass 2C Pass 2D Pass 4S Pass 4NT Pass 5D Pass 6S,S:AQT93 H:A92 D:KQJ3 C:4,S:KJ72 H:85 D:742 C:AKQ5,S:65 H:QJT6 D:96 C:J9863,S:84 H:K743 D:AT85 C:T72,2
Major,16,N,1H Pass 3H Pass 4H Pass Pass Pass,S:75 H:AKT764 D:KJ C:QJT,S:AKT8 H:9853 D:QT96 C:8,S:J432 H:Q D:742 C:96542,S:Q96 H:J2 D:A853 C:AK73,4
Major,17,N,1H Pass 1S Pass 2S Pass 4S Pass Pass Pass,S:A962 H:AKJ74 D:T5 C:73,S:KQT8 H:Q6 D:QJ96 C:A96,S:75 H:T932 D:432 C:QJT8,S:J43 H:85 D:AK87 C:K542,3
Major,18,N,1S Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:AT975 H:KQ D:KT5 C:AJ7,S:KQ86 H:J76 D:QJ76 C:96,S:J32 H:T83 D:43 C:KQT52,S:4 H:A9542 D:A982 C:843,1
Major,19,N,1S Pass 2S Pass 3C Pass 3S Pass Pass Pass,S:AT975 H:KQ D:A3 C:QT43,S:KQ86 H:J76 D:J76 C:965,S:J H:AT952 D:KQT9 C:872,S:432 H:843 D:8542 C:AKJ,2
Major,2,S,1H Pass 2H Pass 4H Pass Pass Pass,S:963 H:Q752 D:K4 C:K874,S:A4 H:AKT98 D:A72 C:QJ5,S:KT72 H:63 D:JT85 C:A93,S:QJ85 H:J4 D:Q963 C:T62,9
Major,20,N,1H Pass 2H Pass 3D Pass 4H Pass Pass Pass,S:AK42 H:AKJ53 D:J72 C:T,S:93 H:QT6 D:KQT3 C:9654,S:Q8 H:982 D:A94 C:QJ732,S:JT765 H:74 D:865 C:AK8,2
Major,3,S,1S Pass 3S Pass 4S Pass Pass Pass,S:9872 H:K83 D:AQJ C:Q64,S:KQJT6 H:A D:9872 C:KJ5,S:54 H:QJ65 D:643 C:T973,S:A3 H:T9742 D:KT5 C:A82,8
Major,4,E,Pass 1S Pass 3S Pass Pass Pass,S:K742 H:Q8 D:A653 C:K94,S:A8653 H:J4 D:J72 C:AQ6,S:JT H:K653 D:Q84 C:JT72,S:Q9 H:AT972 D:KT9 C:853,8
Major,5,S,1H Pass 2C Pass 2H Pass 4H Pass Pass Pass,S:A73 H:A73 D:Q5 C:QJ543,S:952 H:KJT864 D:K72 C:A,S:KJ8 H:Q5 D:A984 C:KT62,S:QT64 H:92 D:JT63 C:987,4
Major,6,S,1H Pass 1S Pass 2S Pass Pass Pass,S:J874 H:75 D:K54 C:QJ52,S:AK65 H:J9864 D:72 C:A3,S:T93 H:T D:QJ863 C:K987,S:Q2 H:AKQ32 D:AT9 C:T64,15
Major,7,S,1H Pass 1S Pass 3S Pass 4S Pass Pass Pass,S:K973 H:5 D:KQ64 C:Q876,S:AT65 H:AK864 D:72 C:A3,S:Q84 H:QJ9 D:AJT8 C:J42,S:J2 H:T732 D:953 C:KT95,3
Major,8,S,1S Pass 2C Pass 2H Pass 3NT Pass Pass Pass,S:A4 H:Q7 D:KT97 C:KQJ86,S:KQ973 H:AT95 D:QJ3 C:T,S:JT52 H:K832 D:2 C:A743,S:86 H:J64 D:A8654 C:952,1
Major,9,S,1S Pass 2H Pass 4H Pass Pass Pass,S:62 H:K973 D:A84 C:A983,S:A9753 H:QJT5 D:KQJ C:7,S:K4 H:42 D:T652 C:KQT42,S:QJT8 H:A86 D:973 C:J65,1
Minor,1,S,1D Pass 1H Pass 2H Pass Pass Pass,S:K73 H:QT62 D:J5 C:J874,S:A4 H:KJ98 D:9872 C:KQ5,S:Q96 H:A73 D:K43 C:AT96,S:JT852 H:54 D:AQT6 C:32,5
Minor,10,S,1D Pass 1S Pass 2NT Pass 3S Pass 4S Pass Pass Pass,S:KT9742 H:QJ5 D:3 C:743,S:QJ6 H:AK7 D:Q864 C:AK8,S:A8 H:984 D:AK72 C:T965,S:53 H:T632 D:JT95 C:QJ2,4
Minor,11,N,1C Pass 1S Pass 2S Pass Pass Pass,S:AK74 H:KQ96 D:J8 C:976,S:JT96 H:85 D:742 C:AK83,S:Q3 H:AJ32 D:K95 C:J542,S:852 H:T74 D:AQT63 C:QT,10
Minor,12,N,1D Pass 1H Pass 2H Pass 4H Pass Pass Pass,S:AK9 H:KQ83 D:QT42 C:T3,S:76 H:AJ96 D:AK83 C:J85,S:T432 H:T542 D:97 C:A62,S:QJ85 H:7 D:J65 C:KQ974,2
Minor,13,N,1C Pass 1H Pass 1S Pass 4S Pass Pass Pass,S:K963 H:A7 D:JT9 C:AJT7,S:QJT7 H:KQ98 D:762 C:KQ,S:8 H:JT632 D:A85 C:8432,S:A542 H:54 D:KQ43 C:965,5
Minor,14,N,1D Pass 2NT Pass 3NT Pass Pass Pass,S:KT4 H:J97 D:AK72 C:K53,S:AJ5 H:KT6 D:Q986 C:A96,S:Q62 H:Q42 D:43 C:QJT87,S:9873 H:A853 D:JT5 C:42,1
Minor,15,N,1C Pass 1H Pass 1S Pass 3NT Pass Pass Pass,S:AK92 H:J5 D:K72 C:K832,S:T83 H:KQT6 D:AQ6 C:QJ5,S:J754 H:97432 D:J3 C:A6,S:Q6 H:A8 D:T9854 C:T974,4
Minor,16,N,1D Pass 3D Pass 3NT Pass Pass Pass,S:KT93 H:AT84 D:QT3 C:A9,S:A7 H:K9 D:KJ974 C:JT85,S:8542 H:Q753 D:A52 C:63,S:QJ6 H:J62 D:86 C:KQ742,6
Minor,17,N,1C Pass 1S Pass 3S Pass Pass Pass,S:AK63 H:K9 D:A83 C:Q975,S:J985 H:Q74 D:T5 C:K862,S:742 H:J862 D:KJ76 C:43,S:QT H:AT53 D:Q942 C:AJT,4
Minor,18,N,1D Pass 1H Pass 3H Pass 4H Pass Pass Pass,S:A93 H:AT83 D:KQJ6 C:QJ,S:84 H:KQ97 D:AT5 C:T862,S:QT7652 H:J6 D:97 C:975,S:KJ H:542 D:8432 C:AK43,2
Minor,19,N,1C Pass 1S Pass 3S Pass 4NT Pass 5C Pass 5S Pass Pass Pass,S:QT86 H: D:KQJT C:KQJT8,S:KJ953 H:AK64 D:9 C:A97,S:42 H:QJ53 D:8643 C:542,S:A7 H:T9872 D:A752 C:63,1
Minor,2,S,1D Pass 1NT Pass Pass Pass,S:762 H:Q96 D:J92 C:AQ96,S:AQJ5 H:KJ4 D:KT53 C:72,S:98 H:87532 D:A764 C:J8,S:KT43 H:AT D:Q8 C:KT543,4
Minor,20,N,1D Pass 2D Pass 4D Pass 5D Pass Pass Pass,S:9 H:AK8 D:AJT64 C:KQJ2,S:KT6 H:75 D:KQ953 C:974,S:QJ874 H:94 D:72 C:AT85,S:A532 H:QJT632 D:8 C:63,400
Minor,3,S,1C Pass 1H Pass 4H Pass Pass Pass,S:653 H:K872 D:873 C:KQ5,S:AK97 H:AQJ5 D:5 C:A864,S:JT2 H:63 D:AKT64 C:J92,S:Q84 H:T94 D:QJ92 C:T73,3
Minor,4,S,1C Pass 1S Pass 3S Pass 4S,S:K8654 H:A86 D:742 C:95,S:AT97 H:75 D:AK C:AT832,S:J2 H:KQJ42 D:JT3 C:J64,S:Q3 H:T93 D:Q9865 C:KQ7,4
Minor,5,S,1D Pass 2NT Pass 3NT Pass Pass Pass,S:Q73 H:KT3 D:KT4 C:AQT2,S:KJT8 H:QJ96 D:A65 C:K9,S:A652 H:A8754 D:J97 C:4,S:94 H:2 D:Q832 C:J87653,2
Minor,6,S,1D Pass 1NT Pass 2C Pass 3C Pass Pass Pass,S:AJ3 H:J64 D:93 C:KT985,S:86 H:T2 D:AQT65 C:AQJ2,S:KT74 H:K973 D:842 C:64,S:Q952 H:AQ85 D:KJ7 C:73,29
Minor,7,S,1C Pass 3C Pass 4NT Pass 5D Pass 6C Pass Pass Pass,S:J4 H:QJ4 D:AQ5 C:KT873,S:KQ65 H:AK97 D:8 C:AQJ2,S:A982 H:T63 D:JT94 C:54,S:T73 H:852 D:K7632 C:96,2
Minor,8,S,1D Pass 3D Pass 3NT Pass Pass Pass,S:AJ H:Q73 D:KQT62 C:T92,S:QT5 H:AJ9 D:J873 C:AQ5,S:K8432 H:85 D:954 C:KJ8,S:976 H:KT642 D:A C:7643,1
Minor,9,S,1C Pass 1S Pass 2NT Pass 3NT Pass Pass Pass,S:Q742 H:KJ5 D:A83 C:T76,S:AJT H:QT7 D:KJ6 C:AK83,S:63 H:98643 D:QT C:J542,S:K985 H:A2 D:97542 C:Q9,2
NMF,1,N,1C Pass 1S Pass 1NT Pass 2D Pass 2S Pass 4S Pass Pass Pass,S:T92 H:AQ3 D:T86 C:AK54,S:QJ865 H:K92 D:AK C:863,S:K73 H:T854 D:Q72 C:QT2,S:A4 H:J76 D:J9543 C:J97,5
NMF,10,S,1D Pass 1S Pass 1NT Pass 2C Pass 3H Pass 4H,S:KQJ62 H:KQ63 D:86 C:54,S:98 H:AJT2 D:AKQ4 C:T96,S:753 H:94 D:J975 C:AQ73,S:AT4 H:875 D:T32 C:KJ82,3
NMF,11,N,1C Pass 1S Pass 1NT Pass 2D Pass 2H Pass 3NT Pass Pass Pass,S:72 H:KQ75 D:J96 C:AK94,S:KQJT5 H:A3 D:KT7 C:T83,S:863 H:J82 D:Q52 C:Q752,S:A94 H:T964 D:A843 C:J6,1
NMF,12,S,1C Pass 1S Pass 2NT Pass 3D Pass 3S Pass 4S,S:KQ962 H:Q74 D:Q93 C:93,S:AT7 H:AJT D:KJ5 C:KQT6,S:J43 H:53 D:AT6 C:AJ754,S:85 H:K9862 D:8742 C:82,4
NMF,13,N,1H Pass 1S Pass 2NT Pass 3C Pass 3NT Pass 6NT Pass Pass Pass,S:J4 H:AKQ86 D:KQ4 C:KT4,S:KQT53 H:73 D:A53 C:AQ3,S:A8762 H:94 D:862 C:J62,S:9 H:JT52 D:JT97 C:9875,1
NMF,14,S,1D Pass 1S Pass 1NT Pass 2C Pass 2D Pass 3NT,S:AQ642 H:KQ7 D:J6 C:QJ4,S:K8 H:962 D:AKQ84 C:T96,S:JT97 H:AJ53 D:97 C:K75,S:53 H:T84 D:T532 C:A832,2
NMF,2,S,1D Pass 1S Pass 1NT Pass 2C Pass 2NT Pass 3NT,S:KQJT2 H:K63 D:86 C:A54,S:96 H:A82 D:AK74 C:Q863,S:A87 H:JT75 D:52 C:KT92,S:543 H:Q94 D:QJT93 C:J7,1
NMF,3,N,1D Pass 1H Pass 1NT Pass 2C Pass 2H Pass Pass Pass,S:962 H:A53 D:KQJ5 C:K84,S:Q74 H:KQ642 D:87 C:A53,S:A53 H:T987 D:A963 C:Q6,S:KJT8 H:J D:T42 C:JT972,2
NMF,4,S,1D Pass 1S Pass 1NT Pass 2C Pass 2H Pass 4H,S:AKQ52 H:AT63 D:75 C:T4,S:63 H:KQJ2 D:AK86 C:985,S:JT9 H:987 D:T93 C:AKJ6,S:874 H:54 D:QJ42 C:Q732,1
NMF,5,N,1D Pass 1H Pass 1NT Pass 2C Pass 2NT Pass Pass Pass,S:KJ2 H:73 D:AK62 C:Q742,S:Q74 H:KQ642 D:87 C:A53,S:A653 H:8 D:T43 C:KJT98,S:T98 H:AJT95 D:QJ95 C:6,1
NMF,6,S,1C Pass 1H Pass 1NT Pass 2D Pass 3H Pass 4H,S:A7 H:AQT63 D:QT4 C:753,S:K43 H:K92 D:J85 C:AK86,S:JT65 H:J87 D:A62 C:QJT,S:Q982 H:54 D:K973 C:942,10
NMF,7,N,1C Pass 1S Pass 1NT Pass 2D Pass 2H Pass 4H Pass Pass Pass,S:Q2 H:Q954 D:A52 C:KQ97,S:KJ976 H:AK87 D:64 C:T3,S:A3 H:J32 D:QJT8 C:8654,S:T854 H:T6 D:K973 C:AJ2,7
NMF,8,S,1D Pass 1H Pass 1NT Pass 2C Pass 3NT Pass Pass Pass,S:K52 H:AJT74 D:J5 C:Q74,S:AQ9 H:82 D:AKT9 C:JT95,S:JT86 H:KQ95 D:7432 C:K,S:743 H:63 D:Q86 C:A8632,1
NMF,9,N,1D Pass 1H Pass 1NT Pass 2C Pass 2NT Pass 3NT Pass Pass Pass,S:QT5 H:JT D:AK642 C:Q86,S:K94 H:AK542 D:85 C:KJ9,S:AJ8 H:Q987 D:QT973 C:T,S:7632 H:63 D:J C:A75432,15
Notrump,1,S,1NT Pass 2NT Pass Pass Pass,S:K93 H:K74 D:K65 C:T972,S:A74 H:AQ85 D:Q74 C:QJ6,S:852 H:J D:AT932 C:A543,S:QJT6 H:T9632 D:J8 C:K8,2
Notrump,10,E,Pass 1NT Pass 3D Pass 3NT Pass Pass Pass,S:AT9 H:83 D:AKJT82 C:J8,S:KQ6 H:KQ4 D:Q74 C:KT96,S:J42 H:J752 D:95 C:AQ43,S:8753 H:AT96 D:63 C:752,4
Notrump,11,E,Pass 1NT Pass 3C Pass 4C Pass 4NT Pass 5D Pass 6C,S:3 H:A85 D:KJ3 C:AQ8754,S:KQ6 H:KQ4 D:A74 C:KT96,S:A8754 H:JT72 D:965 C:J,S:JT92 H:963 D:QT82 C:32,400
Notrump,13,S,2NT Pass 3S Pass 4S Pass Pass Pass,S:KQT72 H:83 D:75 C:T872,S:AJ8 H:K952 D:AQ4 C:AQ9,S:63 H:Q64 D:JT982 C:KJ3,S:954 H:AJT7 D:K63 C:654,4
Notrump,14,W,Pass 1NT Pass Pass Pass,S:A6 H:AJ6 D:KJ62 C:Q864,S:K983 H:KQ2 D:T74 C:953,S:J42 H:T874 D:Q85 C:AJ2,S:QT75 H:953 D:A93 C:KT7,3
Notrump,15,N,1NT Pass 2NT Pass 3NT Pass Pass Pass,S:AQ2 H:A97 D:Q83 C:KQT4,S:K93 H:KQ2 D:T974 C:J53,S:JT54 H:JT654 D:AK C:97,S:876 H:83 D:J652 C:A862,6
Notrump,16,N,1NT Pass 3NT Pass Pass Pass,S:AQT H:Q6 D:AJ73 C:KT96,S:73 H:AK2 D:KT94 C:Q753,S:KJ862 H:9873 D:62 C:A8,S:954 H:JT54 D:Q85 C:J42,6
Notrump,17,N,1NT Pass 3NT Pass Pass Pass,S:AQ52 H:KQ9 D:J7 C:AT97,S:73 H:T75 D:AKT964 C:86,S:T986 H:AJ82 D:53 C:QJ3,S:KJ4 H:643 D:Q82 C:K542,3
Notrump,18,N,1NT Pass 4NT Pass Pass Pass,S:A743 H:AJ9 D:KJ2 C:Q63,S:QJ5 H:K6 D:AQ74 C:KJT7,S:K986 H:853 D:T9 C:A952,S:T2 H:QT742 D:8653 C:84,1
Notrump,19,N,2NT Pass 6NT Pass Pass Pass,S:AQ7 H:AT4 D:KQJ6 C:A83,S:K6 H:KJ5 D:T75 C:KQJT4,S:T3 H:Q862 D:9432 C:975,S:J98542 H:973 D:A8 C:62,2
Notrump,2,S,1NT Pass 2NT Pass 3NT Pass Pass Pass,S:T93 H:K74 D:QJ85 C:K83,S:A74 H:AQ D:T74 C:AQT65,S:852 H:JT82 D:AK96 C:74,S:KQJ6 H:9653 D:32 C:J92,7
Notrump,20,N,1NT Pass 2S Pass Pass Pass,S:AT3 H:Q7 D:AT75 C:AJ62,S:987642 H:95 D:QJ4 C:73,S:QJ5 H:KJT83 D:K62 C:85,S:K H:A642 D:983 C:KQT94,1
Notrump,21,N,1NT Pass 4H Pass Pass Pass,S:J9 H:A73 D:AQ95 C:A983,S:76 H:KJ9865 D:86 C:KJT,S:A854 H:T2 D:JT43 C:742,S:KQT32 H:Q4 D:K72 C:Q65,17
Notrump,22,N,1NT Pass 3S Pass 4S Pass Pass Pass,S:K84 H:A73 D:KJ64 C:A75,S:QJT95 H:T4 D:A87 C:KQ9,S:A732 H:Q86 D:T95 C:J83,S:6 H:KJ952 D:Q32 C:T642,1
Notrump,23,N,1NT Pass 3C Pass 4C Pass 4D Pass 6C Pass Pass Pass,S:AJ3 H:AJ65 D:K5 C:QJ63,S:85 H:K7 D:AT9 C:AKT875,S:7642 H:T432 D:Q743 C:9,S:KQT9 H:Q98 D:J862 C:42,1
Notrump,24,N,2NT Pass 3NT Pass Pass Pass,S:KQ9 H:AJT D:AQ2 C:AJT4,S:85 H:97 D:KT9873 C:962,S:AT73 H:K832 D:J5 C:KQ5,S:J642 H:Q654 D:64 C:873,1
