Subfolder,DealNumber,Dealer,AuctionSig,NorthHand,SouthHand,EastHand,WestHand,attempts
Notrump,25,N,2NT Pass 4C Pass 4S Pass 6S Pass Pass Pass,S:QT2 H:KQJ D:AQ95 C:AJ5,S:KJ98753 H:A8 D:6 C:KQ2,S:A4 H:T9764 D:J832 C:T3,S:6 H:532 D:KT74 C:98764,4
Notrump,3,S,1NT Pass 2NT Pass 3NT Pass Pass Pass,S:865 H:K84 D:QJ95 C:K83,S:QJT H:AQ D:T87 C:AQT95,S:9743 H:JT52 D:K2 C:J64,S:AK2 H:9763 D:A643 C:72,4
Notrump,4,S,1NT Pass 4NT Pass Pass Pass,S:AK3 H:AK7 D:T82 C:QT75,S:QJT5 H:Q98 D:AQ4 C:A98,S:98742 H:T53 D:3 C:K642,S:6 H:J642 D:KJ9765 C:J3,7
Notrump,5,S,1NT Pass 4NT Pass 6NT Pass Pass Pass,S:AK3 H:AK7 D:T82 C:QT75,S:QJT5 H:Q98 D:AK4 C:AJ9,S:764 H:T6532 D:J9 C:K83,S:982 H:J4 D:Q7653 C:642,2
Notrump,6,S,1NT Pass 4NT Pass 6NT Pass Pass Pass,S:AK3 H:AK7 D:T82 C:QT75,S:QJT5 H:Q98 D:AQ4 C:AJ9,S:742 H:T6532 D:J53 C:62,S:986 H:J4 D:K976 C:K843,1
Notrump,7,E,Pass 1NT Pass 2H Pass Pass Pass,S:73 H:JT9763 D:K3 C:542,S:KQ6 H:Q5 D:AJ74 C:KT96,S:AJT98 H:8 D:QT96 C:J73,S:542 H:AK42 D:852 C:AQ8,16
Notrump,8,W,Pass Pass Pass 1NT Pass 3H Pass 3NT Pass Pass Pass,S:J8 H:QJT73 D:J53 C:A73,S:KQ6 H:K5 D:AQ74 C:KT96,S:T9753 H:9642 D:K8 C:42,S:A42 H:A8 D:T962 C:QJ85,3
Notrump,9,W,Pass Pass Pass 1NT Pass 3S Pass 4S Pass Pass Pass,S:JT973 H:A82 D:62 C:A75,S:KQ6 H:K5 D:AQ74 C:KT96,S:54 H:QT63 D:98 C:Q8432,S:A82 H:J974 D:KJT53 C:J,3
Ogust,1,S,2H Pass 2NT Pass 3C Pass 3H Pass Pass Pass,S:975 H:A5 D:AT64 C:AK82,S:83 H:QJ9764 D:K7 C:964,S:KJ62 H:K3 D:J532 C:T73,S:AQT4 H:T82 D:Q98 C:QJ5,11
Ogust,10,W,Pass 2S Pass 2NT Pass 3S Pass 6S Pass Pass Pass,S:AQ9874 H:873 D:75 C:K4,S:KT3 H:5 D:AKQ94 C:A872,S:J52 H:AK962 D:32 C:JT3,S:6 H:QJT4 D:JT86 C:Q965,1
Ogust,2,W,Pass 2H Pass 2NT Pass 3C Pass 3H Pass Pass Pass,S:83 H:KT9764 D:K7 C:964,S:A75 H:85 D:AT64 C:AK82,S:J642 H:QJ2 D:QJ98 C:JT,S:KQT9 H:A3 D:532 C:Q753,21
Ogust,3,S,2S Pass 2NT Pass 3D Pass 3S Pass Pass Pass,S:J2 H:A62 D:A853 C:AK86,S:KQT854 H:85 D:764 C:92,S:A63 H:KQT97 D:2 C:QJ54,S:97 H:J43 D:KQJT9 C:T73,3
Ogust,4,W,Pass 2S Pass 2NT Pass 3H Pass 4S Pass Pass Pass,S:QJ8753 H:KQ3 D:97 C:T4,S:K6 H:A85 D:AT64 C:A982,S:AT4 H:J9762 D:K85 C:73,S:92 H:T4 D:QJ32 C:KQJ65,2
Ogust,5,S,2S Pass 2NT Pass 3H Pass 4S Pass Pass Pass,S:J2 H:A62 D:A853 C:AK86,S:KT9854 H:KQ D:964 C:75,S:63 H:543 D:KQJT2 C:J43,S:AQ7 H:JT987 D:7 C:QT92,1
Ogust,6,W,Pass 2D Pass 2NT Pass 3D Pass 3NT Pass Pass Pass,S:T62 H:84 D:AQ9873 C:74,S:A93 H:A75 D:K654 C:A82,S:Q754 H:J632 D:JT C:KQ5,S:KJ8 H:KQT9 D:2 C:JT963,400
Ogust,7,S,2D Pass 2NT Pass 3NT Pass Pass Pass,S:KJ94 H:A63 D:J2 C:AK76,S:83 H:T2 D:AKQT64 C:984,S:AT75 H:QJ8 D:75 C:Q532,S:Q62 H:K9754 D:983 C:JT,1
Ogust,8,W,Pass 2H Pass 2NT Pass 3NT Pass 4H Pass Pass Pass,S:2 H:AKQT83 D:765 C:964,S:QT3 H:75 D:AKQ4 C:A872,S:A98765 H:6 D:82 C:QJT3,S:KJ4 H:J942 D:JT93 C:K5,5
Ogust,9,S,2H Pass 2NT Pass 3S Pass 4H Pass Pass Pass,S:A876 H:K5 D:A974 C:A86,S:K3 H:AQ9764 D:85 C:973,S:954 H:32 D:KJT3 C:QJ54,S:QJT2 H:JT8 D:Q62 C:KT2,3
Partnership-AdvancedForcing,1,N,1H Pass 1S Pass 1NT Pass 2D Pass 2S Pass 4S Pass Pass Pass,S:A73 H:QJT82 D:K86 C:Q4,S:KQJ42 H:K5 D:A52 C:753,S:96 H:A973 D:Q7 C:KJ862,S:T85 H:64 D:JT943 C:AT9,1
Partnership-AdvancedForcing,10,S,1H Pass 1S Pass 2D Pass 3NT Pass Pass Pass,S:AJ75 H:K6 D:874 C:AJT3,S:KT H:A9754 D:KQ62 C:96,S:Q9863 H:QT D:JT93 C:KQ,S:42 H:J832 D:A5 C:87542,2
Partnership-AdvancedForcing,11,N,1H Pass 2H Pass Pass Pass,S:A7 H:QT976 D:Q7 C:AT96,S:J83 H:A832 D:K864 C:72,S:KT64 H:54 D:AT52 C:Q83,S:Q952 H:KJ D:J93 C:KJ54,1
Partnership-AdvancedForcing,12,S,1D Pass 1S Pass 1NT Pass 2C Pass 2NT Pass 3NT Pass Pass Pass,S:KQT63 H:KQJ8 D:95 C:Q8,S:84 H:AT7 D:QT643 C:AK2,S:J7 H:9642 D:A72 C:9763,S:A952 H:53 D:KJ8 C:JT54,5
Partnership-AdvancedForcing,13,N,1H Pass 2H Pass 3C Pass 4H Pass Pass Pass,S:AJ H:KQJ84 D:A5 C:J542,S:K53 H:T953 D:9864 C:KQ,S:98742 H:A62 D:QJ7 C:T9,S:QT6 H:7 D:KT32 C:A8763,4
Partnership-AdvancedForcing,14,S,1C Pass 1D Pass 1H Pass 2S Pass 3NT Pass Pass Pass,S:985 H:J74 D:KQT3 C:AK5,S:AJT H:AQT3 D:94 C:QJ64,S:K64 H:K965 D:J5 C:9732,S:Q732 H:82 D:A8762 C:T8,1
Partnership-AdvancedForcing,15,N,1C Pass 1S Pass 1NT Pass 2D Pass 2H Pass 4H Pass Pass Pass,S:Q75 H:JT76 D:A8 C:KQJ3,S:K8432 H:KQ83 D:73 C:A5,S:A96 H:A542 D:964 C:842,S:JT H:9 D:KQJT52 C:T976,6
Partnership-AdvancedForcing,16,S,1C Pass 1D Pass 1H Pass 1S Pass 2S Pass 4S Pass Pass Pass,S:KJ97 H:87 D:AKJ62 C:T2,S:QT83 H:AK65 D:T C:A984,S:652 H:QJT3 D:Q7 C:K763,S:A4 H:942 D:98543 C:QJ5,1
Partnership-AdvancedForcing,17,N,1H Pass 2H Pass 3C Pass 4H Pass Pass Pass,S:A64 H:AK972 D:7 C:K865,S:97 H:Q653 D:T83 C:AJ72,S:KQJT H:T4 D:QJ5 C:QT94,S:8532 H:J8 D:AK9642 C:3,1
Partnership-AdvancedForcing,18,S,1C Pass 1D Pass 1S Pass 3NT Pass Pass Pass,S:Q6 H:KJ85 D:A9854 C:K8,S:KJT5 H:T96 D:K7 C:AQJ3,S:A9872 H:Q73 D:2 C:9652,S:43 H:A42 D:QJT63 C:T74,3
Partnership-AdvancedForcing,19,N,1D Pass 1S Pass 2C Pass 3H Pass 4S Pass Pass Pass,S:Q54 H:76 D:AK98 C:A874,S:AKT63 H:KQ985 D:63 C:5,S:987 H:AT4 D:QT7 C:Q962,S:J2 H:J32 D:J542 C:KJT3,8
Partnership-AdvancedForcing,2,S,1H Pass 2H Pass 3C Pass 3H Pass Pass Pass,S:J84 H:KQ84 D:Q52 C:763,S:K5 H:AJ962 D:AK C:J852,S:QT732 H:T3 D:T73 C:AK9,S:A96 H:75 D:J9864 C:QT4,4
Partnership-AdvancedForcing,20,S,1D Pass 1H Pass 1NT Pass 2C Pass 2D Pass Pass Pass,S:K76 H:KJ873 D:A94 C:92,S:Q85 H:A5 D:KQJ62 C:643,S:JT2 H:QT62 D:T53 C:AT7,S:A943 H:94 D:87 C:KQJ85,17
Partnership-AdvancedForcing,21,N,1H Pass 1S Pass 2D Pass 4H Pass Pass Pass,S:84 H:AK943 D:AJ96 C:75,S:AQJ63 H:QJ5 D:K4 C:T92,S:2 H:T76 D:T8532 C:AK86,S:KT975 H:82 D:Q7 C:QJ43,1
Partnership-AdvancedForcing,22,S,1S Pass 2S Pass 3H Pass 3S Pass Pass Pass,S:Q93 H:7642 D:KT82 C:Q5,S:AKJ86 H:J53 D:3 C:AK63,S:T4 H:AQ8 D:Q975 C:T842,S:752 H:KT9 D:AJ64 C:J97,2
Partnership-AdvancedForcing,23,N,1D Pass 1S Pass 1NT Pass 2C Pass 2S Pass Pass Pass,S:K95 H:KJ2 D:A963 C:Q64,S:AJ862 H:Q93 D:K74 C:85,S:Q73 H:T8 D:Q85 C:KJT92,S:T4 H:A7654 D:JT2 C:A73,2
Partnership-AdvancedForcing,24,S,1D Pass 1H Pass 2C Pass 2S Pass 2NT Pass 3NT Pass Pass Pass,S:KT7 H:AK652 D:J98 C:Q5,S:A95 H:T4 D:KQ74 C:KJ63,S:J42 H:QJ3 D:5 C:AT9874,S:Q863 H:987 D:AT632 C:2,4
Partnership-AdvancedForcing,3,N,1S Pass 2C Pass 2H Pass 3D Pass 3NT Pass Pass Pass,S:AJ762 H:KT94 D:KQ6 C:4,S:K8 H:Q85 D:J84 C:AKJ73,S:QT53 H:A D:9732 C:T865,S:94 H:J7632 D:AT5 C:Q92,2
Partnership-AdvancedForcing,4,S,1D Pass 1S Pass 1NT Pass 2C Pass 2NT Pass Pass Pass,S:Q9652 H:763 D:AQ C:Q84,S:87 H:AQ5 D:KT943 C:KT7,S:AKJ H:92 D:J8652 C:A63,S:T43 H:KJT84 D:7 C:J952,14
Partnership-AdvancedForcing,5,N,1S Pass 2S Pass 3D Pass 4S Pass Pass Pass,S:AKT62 H:A43 D:K964 C:7,S:Q543 H:75 D:AJT3 C:652,S:97 H:JT92 D:85 C:AKQ94,S:J8 H:KQ86 D:Q72 C:JT83,5
Partnership-AdvancedForcing,6,S,1D Pass 1H Pass 1NT Pass 3NT Pass Pass Pass,S:QJ83 H:AQJ7 D:J9 C:KT2,S:AT5 H:T4 D:KQ74 C:A863,S:9762 H:982 D:AT53 C:J5,S:K4 H:K653 D:862 C:Q974,1
Partnership-AdvancedForcing,7,N,1H Pass 1S Pass 2C Pass 2D Pass 2S Pass 4S Pass Pass Pass,S:K64 H:KQ974 D:4 C:AJ65,S:AQ972 H:85 D:A96 C:QT4,S:JT5 H:JT D:KT8532 C:92,S:83 H:A632 D:QJ7 C:K873,3
Partnership-AdvancedForcing,8,S,1C Pass 1S Pass 1NT Pass 2D Pass 2H Pass 4H Pass Pass Pass,S:AK763 H:KT84 D:K4 C:52,S:85 H:QJ97 D:AQ9 C:A843,S:Q942 H:A5 D:J6532 C:Q9,S:JT H:632 D:T87 C:KJT76,1
Partnership-AdvancedForcing,9,N,Pass Pass 1S Pass 2S Pass 3H Pass 4S Pass Pass Pass,S:K942 H:8 D:87542 C:Q97,S:AQJT7 H:765 D:3 C:AK84,S:85 H:KQ942 D:AT9 C:J52,S:63 H:AJT3 D:KQJ6 C:T63,67
Partnership-BasicBidding,1,N,1H Pass 2H Pass 4H Pass Pass Pass,S:J6 H:KQT832 D:A7 C:AK3,S:KQ3 H:J964 D:862 C:965,S:T974 H:A5 D:KQT53 C:T2,S:A852 H:7 D:J94 C:QJ874,400
Partnership-BasicBidding,10,S,1S Pass 2S Pass Pass Pass,S:J962 H:KQ75 D:83 C:T74,S:KQT73 H:A42 D:975 C:A6,S:5 H:JT93 D:AT62 C:KJ83,S:A84 H:86 D:KQJ4 C:Q952,4
Partnership-BasicBidding,11,N,1NT Pass 6NT Pass Pass Pass,S:A83 H:A7 D:KJ964 C:QJ5,S:KJ4 H:KQ92 D:AQ5 C:KT8,S:QT9765 H:63 D:8 C:7632,S:2 H:JT854 D:T732 C:A94,3
Partnership-BasicBidding,12,S,1S Pass 1NT Pass 3NT Pass Pass Pass,S:K4 H:QT6 D:8532 C:Q985,S:QJT96 H:A7 D:AQ6 C:AK7,S:53 H:K8543 D:KJ4 C:T64,S:A872 H:J92 D:T97 C:J32,2
Partnership-BasicBidding,13,N,1S Pass 4NT Pass 5H Pass 6S Pass Pass Pass,S:QJT83 H:AJ4 D:AT C:962,S:AK964 H:KQ5 D:KQJ7 C:3,S:5 H:73 D:6542 C:KQT875,S:72 H:T9862 D:983 C:AJ4,400
Partnership-BasicBidding,14,S,1H Pass 1NT Pass 3H Pass 4H Pass Pass Pass,S:A74 H:Q5 D:K764 C:7653,S:62 H:AK8762 D:AT3 C:A9,S:QT95 H:T3 D:QJ9 C:KQJ8,S:KJ83 H:J94 D:852 C:T42,1
Partnership-BasicBidding,15,N,1C Pass 1H Pass 1S Pass 2S Pass Pass Pass,S:KQ74 H:83 D:762 C:AKQ2,S:JT83 H:AQ74 D:J53 C:76,S:92 H:KT2 D:AT9 C:J9854,S:A65 H:J965 D:KQ84 C:T3,5
Partnership-BasicBidding,16,S,1NT Pass 4NT Pass 6NT Pass Pass Pass,S:A94 H:A7 D:K83 C:KJ962,S:KQ7 H:KQJ3 D:AT6 C:QT8,S:JT82 H:98652 D:74 C:73,S:653 H:T4 D:QJ952 C:A54,2
Partnership-BasicBidding,17,N,Pass Pass 1S Pass 3S Pass Pass Pass,S:K973 H:842 D:AK5 C:J76,S:AQ862 H:J53 D:74 C:KQ2,S:JT4 H:Q76 D:QT96 C:A85,S:5 H:AKT9 D:J832 C:T943,1
Partnership-BasicBidding,18,S,1H Pass 4H Pass Pass Pass,S:73 H:Q8642 D:A86 C:K95,S:T82 H:AK753 D:KQ5 C:Q6,S:A965 H:J9 D:92 C:AJ732,S:KQJ4 H:T D:JT743 C:T84,400
Partnership-BasicBidding,19,N,1D Pass 1S Pass 4S Pass Pass Pass,S:QJ75 H:A D:AKQ3 C:KT62,S:KT83 H:J72 D:986 C:QJ3,S:A62 H:9854 D:J75 C:985,S:94 H:KQT63 D:T42 C:A74,14
Partnership-BasicBidding,2,S,1NT Pass 3NT Pass Pass Pass,S:T97 H:A96 D:KQ73 C:K84,S:AQ4 H:KT8 D:JT95 C:AJ6,S:J863 H:J754 D:A8 C:532,S:K52 H:Q32 D:642 C:QT97,3
Partnership-BasicBidding,20,S,1S Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:T963 H:754 D:Q7 C:AK64,S:KQJ74 H:KQ2 D:AJ6 C:93,S:A5 H:AJ98 D:K85 C:Q875,S:82 H:T63 D:T9432 C:JT2,4
Partnership-BasicBidding,21,N,2NT Pass 4NT Pass Pass Pass,S:KJ3 H:KQ5 D:AQJ C:KJ42,S:QT8 H:AJ6 D:KT93 C:QT5,S:A964 H:98432 D:872 C:3,S:752 H:T7 D:654 C:A9876,1
Partnership-BasicBidding,22,S,1NT Pass 2NT Pass Pass Pass,S:JT4 H:AJ6 D:K53 C:T872,S:965 H:KQ2 D:A87 C:KQJ3,S:A82 H:9875 D:T964 C:96,S:KQ73 H:T43 D:QJ2 C:A54,3
Partnership-BasicBidding,23,N,1C Pass 1S Pass 3S Pass 4S Pass Pass Pass,S:QT82 H:AK D:764 C:AKQ5,S:J975 H:642 D:AKJ C:742,S:A643 H:JT753 D:2 C:J98,S:K H:Q98 D:QT9853 C:T63,10
Partnership-BasicBidding,24,S,2NT Pass 3NT Pass Pass Pass,S:543 H:A72 D:KT65 C:985,S:KQJ H:KQ8 D:QJ93 C:AK2,S:A9872 H:963 D:74 C:J73,S:T6 H:JT54 D:A82 C:QT64,4
Partnership-BasicBidding,3,N,1C Pass 1S Pass 2S Pass Pass Pass,S:QJ64 H:A95 D:82 C:AK63,S:KT73 H:K6 D:T754 C:852,S:85 H:J872 D:KQ96 C:QT7,S:A92 H:QT43 D:AJ3 C:J94,11
Partnership-BasicBidding,4,S,1H Pass 2H Pass 3H Pass Pass Pass,S:75 H:T984 D:K94 C:K852,S:QJ6 H:AKQ72 D:A53 C:64,S:K982 H:63 D:T862 C:AJ9,S:AT43 H:J5 D:QJ7 C:QT73,2
Partnership-BasicBidding,5,N,1NT Pass 2NT Pass 3NT Pass Pass Pass,S:A832 H:KT9 D:AJ7 C:KQ6,S:T94 H:QJ4 D:KQ52 C:J95,S:KJ76 H:A87 D:986 C:T82,S:Q5 H:6532 D:T43 C:A743,2
Partnership-BasicBidding,6,S,1D Pass 1H Pass 1S Pass 4S Pass Pass Pass,S:KJ84 H:AK72 D:65 C:K93,S:AQT6 H:54 D:A874 C:A82,S:9753 H:T98 D:KQ93 C:J5,S:2 H:QJ63 D:JT2 C:QT764,2
Partnership-BasicBidding,7,N,1S Pass 3S Pass 4S Pass Pass Pass,S:KQT84 H:A7 D:KQ5 C:QT6,S:A963 H:Q64 D:A962 C:J7,S:2 H:JT52 D:J873 C:9853,S:J75 H:K983 D:T4 C:AK42,1
Partnership-BasicBidding,8,S,2NT Pass 3NT Pass Pass Pass,S:87 H:T64 D:KQT96 C:T73,S:AK6 H:AJ9 D:AJ2 C:A852,S:QJ542 H:83 D:874 C:KJ9,S:T93 H:KQ752 D:53 C:Q64,4
Partnership-BasicBidding,9,N,1H Pass 1NT Pass Pass Pass,S:J63 H:AKQ82 D:K6 C:T95,S:T95 H:J4 D:QJ83 C:KJ72,S:A42 H:T7653 D:T72 C:A3,S:KQ87 H:9 D:A954 C:Q864,4
Partnership-BasicMajor,1,N,1H Pass Pass Pass,S:A5 H:KQT97 D:KQ6 C:QJ4,S:K763 H:J42 D:974 C:865,S:Q84 H:A6 D:853 C:AT732,S:JT92 H:853 D:AJT2 C:K9,19
Partnership-BasicMajor,10,S,1S Pass 2S Pass Pass Pass,S:J962 H:KQ75 D:83 C:T74,S:KQT73 H:A42 D:975 C:A6,S:A85 H:J98 D:AK62 C:J83,S:4 H:T63 D:QJT4 C:KQ952,14
Partnership-BasicMajor,11,N,1S Pass 3S Pass 4S Pass Pass Pass,S:AQ753 H:KQ D:A876 C:94,S:K642 H:J85 D:K32 C:A62,S:98 H:A732 D:QJ4 C:JT73,S:JT H:T964 D:T95 C:KQ85,14
Partnership-BasicMajor,12,S,1S Pass 3S Pass 4S Pass Pass Pass,S:AKQ7 H:743 D:852 C:Q95,S:JT864 H:A6 D:AK6 C:KJ3,S:53 H:KJT985 D:7 C:AT86,S:92 H:Q2 D:QJT943 C:742,1
Partnership-BasicMajor,13,N,1H Pass 4H Pass Pass Pass,S:K5 H:QJT83 D:KQJ C:962,S:A64 H:K952 D:7653 C:AK,S:T872 H:A6 D:AT8 C:Q754,S:QJ93 H:74 D:942 C:JT83,7
Partnership-BasicMajor,14,S,1S Pass 3S Pass 6S Pass Pass Pass,S:KQ92 H:QJ D:Q764 C:J84,S:AJT874 H:AK5 D:AK3 C:9,S:5 H:T84 D:JT95 C:T7653,S:63 H:97632 D:82 C:AKQ2,400
Partnership-BasicMajor,15,N,1S Pass 4S Pass Pass Pass,S:A7652 H:76 D:A83 C:AJ4,S:JT943 H:A53 D:9 C:K863,S:K8 H:QT92 D:K754 C:T95,S:Q H:KJ84 D:QJT62 C:Q72,400
Partnership-BasicMajor,16,S,1H Pass 4H Pass Pass Pass,S:94 H:AK52 D:KJ3 C:K962,S:A87 H:T9863 D:A62 C:A8,S:KJT63 H:QJ D:985 C:Q73,S:Q52 H:74 D:QT74 C:JT54,9
Partnership-BasicMajor,17,N,1H Pass 3H Pass 4H Pass Pass Pass,S:K9 H:AKJ65 D:AT5 C:A76,S:Q82 H:Q843 D:K74 C:KQ2,S:J654 H:97 D:QJ82 C:J84,S:AT73 H:T2 D:963 C:T953,1
Partnership-BasicMajor,18,S,Pass Pass 1S Pass 4S Pass Pass Pass,S:AJ653 H:JT9 D:AQ54 C:6,S:Q98742 H:KQ3 D:86 C:95,S:K H:752 D:T72 C:AKJ432,S:T H:A864 D:KJ93 C:QT87,400
Partnership-BasicMajor,19,N,1S Pass 2S Pass 4S Pass Pass Pass,S:AQ9753 H:Q7 D:AK3 C:K2,S:JT82 H:K52 D:86 C:Q763,S:K4 H:8643 D:J752 C:A84,S:6 H:AJT9 D:QT94 C:JT95,400
Partnership-BasicMajor,2,S,1S Pass 2S Pass 3S Pass Pass Pass,S:K82 H:K543 D:86 C:9832,S:QJ964 H:A9 D:K74 C:KQJ,S:A3 H:QT D:QJ32 C:T7654,S:T75 H:J8762 D:AT95 C:A,4
Partnership-BasicMajor,20,S,1H Pass 2H Pass 4H Pass Pass Pass,S:J8 H:KQ54 D:9753 C:T64,S:A74 H:AJ872 D:KQJ C:A3,S:KT932 H:T9 D:AT4 C:972,S:Q65 H:63 D:862 C:KQJ85,11
Partnership-BasicMajor,21,N,1H Pass Pass Pass,S:A H:KQ98742 D:KQ C:K42,S:J863 H:63 D:J843 C:875,S:KQ97 H:A5 D:72 C:QT963,S:T542 H:JT D:AT965 C:AJ,400
Partnership-BasicMajor,22,S,1S Pass 3S Pass 4S Pass Pass Pass,S:J842 H:976 D:QJ C:AK72,S:KQT65 H:KQ2 D:K87 C:83,S:93 H:843 D:A9654 C:JT6,S:A7 H:AJT5 D:T32 C:Q954,6
Partnership-BasicMajor,23,N,1S Pass 3S Pass 4S Pass Pass Pass,S:KJ872 H:A98 D:KQJ C:65,S:T953 H:KJ2 D:A5 C:K742,S:Q6 H:Q43 D:T976 C:AJ98,S:A4 H:T765 D:8432 C:QT3,6
Partnership-BasicMajor,24,S,Pass Pass 1H Pass 2H Pass 3H Pass Pass Pass,S:A6 H:AQ87642 D:A3 C:42,S:543 H:K53 D:T65 C:QJ85,S:J72 H:T9 D:KQJ84 C:AT3,S:KQT98 H:J D:972 C:K976,400
Partnership-BasicMajor,3,N,Pass Pass 1S Pass 2S Pass Pass Pass,S:Q75 H:KJ74 D:J942 C:J8,S:AJ9642 H:83 D:A6 C:Q54,S:T H:AQT52 D:853 C:K762,S:K83 H:96 D:KQT7 C:AT93,400
Partnership-BasicMajor,4,S,1H Pass 2H Pass 3H Pass 4H Pass Pass Pass,S:J65 H:KT75 D:A8 C:9862,S:AK H:QJ8642 D:KQ3 C:75,S:QT74 H:9 D:T97 C:KQJT3,S:9832 H:A3 D:J6542 C:A4,400
Partnership-BasicMajor,5,N,1H Pass 2H Pass 3H Pass Pass Pass,S:T92 H:AK542 D:85 C:AKQ,S:764 H:Q763 D:AJ4 C:985,S:K53 H:98 D:T9762 C:T64,S:AQJ8 H:JT D:KQ3 C:J732,9
Partnership-BasicMajor,6,S,Pass Pass 1S Pass Pass Pass,S:KJ874 H:K72 D:A95 C:AQ,S:A63 H:9853 D:8643 C:92,S:T5 H:AQJ4 D:JT7 C:J643,S:Q92 H:T6 D:KQ2 C:KT875,26
Partnership-BasicMajor,7,N,1S Pass 2S Pass 3S Pass 4S Pass Pass Pass,S:KQJ54 H:A7 D:KQ5 C:J86,S:T963 H:KQ4 D:9642 C:A7,S:72 H:86532 D:J87 C:KQ9,S:A8 H:JT9 D:AT3 C:T5432,1
Partnership-BasicMajor,8,S,1H Pass 3H Pass Pass Pass,S:872 H:Q964 D:K62 C:AQ3,S:KJ6 H:KJ852 D:A74 C:85,S:A543 H:A7 D:JT3 C:JT64,S:QT9 H:T3 D:Q985 C:K972,13
Partnership-BasicMajor,9,N,Pass Pass 1H Pass 3H Pass Pass Pass,S:QJ H:J854 D:A983 C:QJ7,S:863 H:AKQ72 D:K6 C:T95,S:KT975 H:96 D:T7 C:A843,S:A42 H:T3 D:QJ542 C:K62,21
Partnership-BasicNotrump,1,W,Pass 1NT Pass Pass Pass,S:AT6 H:A74 D:KQT2 C:K84,S:853 H:K96 D:A863 C:965,S:Q9 H:JT53 D:J95 C:AT72,S:KJ742 H:Q82 D:74 C:QJ3,2
